무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
H4875,경기도,가평군,시도,,청평역로,02,,경기도 가평군 청평면 청평리 193-11,37.73781631,127.4273487,청평4리마을회관앞교차로(청평면사무소→청평역),02,30,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H3619,경기도,가평군,일반국도,46,경춘로,02,경기도 가평군 청평면 경춘로 1449,경기도 가평군 청평면 상천리 236-2,37.77900521,127.4639609,초옥동마을입구교차로(가평→서울),02,60,99,2021,경기도북부경찰청,031-961-3853,2023-11-01
H5767,경기도,가평군,일반국도,75,가화로,01,,경기도 가평군 북면 이곡리 65-1,37.88031056,127.5464767,목동초교(가평군청→목동버스터미널),02,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
F8094,경기도,가평군,일반국도,87,유명로,01,경기도 가평군 설악면 유명로 2182,경기도 가평군 설악면 회곡리 806,37.70155653,127.456579,교원비젼센터앞(설악→청평),01,50,99,2016,경기도북부경찰청,031-961-3853,2023-11-01
H4722,경기도,가평군,지방도,98,남가로,01,,경기도 가평군 청평면 대성리 562-8,37.69375124,127.3675339,보니애가구(대성교차로→수동면),01,50,99,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4723,경기도,가평군,시도,,청군로,01,경기도 가평군 상면 청군로 2090,경기도 가평군 상면 율길리 454-1,37.83790181,127.2885688,율길초교(율길삼거리→서파육교),01,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4725,경기도,가평군,시도,,청군로,03,경기도 가평군 상면 청군로 701,경기도 가평군 상면 임초리 415-6,37.77439854,127.3713964,상면초교 건너편(개누리고개→상면교차로),01,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4727,경기도,가평군,시도,,미사리로,03,,경기도 가평군 설악면 미사리 290-12,37.70347436,127.5396633,미원초교장락분교 건너편(미사리마을회관→청심평화월드센터),01,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4728,경기도,가평군,시도,,신천중앙로120번길,03,,경기도 가평군 설악면 신천리 486,37.67952506,127.4907358,미원초교(설악고교→설악파출소),01,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4729,경기도,가평군,시도,,신천중앙로120번길,03,경기도 가평군 설악면 신천중앙로120번길 20-9,경기도 가평군 설악면 신천리 495-1,37.67956436,127.492267,미원초교 건너편(설악파출소→설악고교),01,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4730,경기도,가평군,지방도,387,비룡로,03,경기도 가평군 상면 비룡로 2193,경기도 가평군 상면 연하리 445-1,37.80216943,127.3428419,연하초교(맹호아파트→태봉리마을회관),02,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4731,경기도,가평군,지방도,387,비룡로,03,,경기도 가평군 상면 연하리 444-10,37.80199999,127.3432659,연하초교 건너편(태봉리마을회관→맹호아파트),02,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4876,경기도,가평군,시도,,강변로,01,,경기도 가평군 청평면 청평리 738-5,37.73424408,127.4159483,청평시장입구(청평역→청평교),02,30,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H4877,경기도,가평군,일반국도,75,가화로,02,,경기도 가평군 가평읍 읍내리 759-4,37.83914164,127.5066636,계량교 지나 50m(마장리→대곡리),02,30,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H4878,경기도,가평군,일반국도,75,가화로,01,,경기도 가평군 가평읍 승안리 11-28,37.84081114,127.5062322,승안삼거리(대곡리→마장리),02,30,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H4879,경기도,가평군,시도,,중앙로,01,,경기도 가평군 가평읍 대곡리 233-5,37.8270022,127.5146025,가평중 지나 400m(가평종합운동장→가평천),02,30,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H7738,경기도,가평군,일반국도,46,경춘로,01,,경기도 가평군 가평읍 상색리 306-11,37.79656921,127.4802664,포회촌마을입구교차로(청평→가평군청),01,60,99,2022,경기도북부경찰청,031-961-3853,2023-11-01
F5507,경기도,가평군,일반국도,3,유명로,01,,경기도 가평군 설악면 천안리 470-3,37.64838009,127.47522,이레요양원앞(양평군→청평),01,50,99,2016,경기도북부경찰청,031-961-3853,2023-11-01
H7741,경기도,가평군,일반국도,46,경춘로,01,,경기도 가평군 청평면 대성리 30-3,37.72469694,127.4086559,소돌마을앞교차로(남양주→청평),02,70,99,2022,경기도북부경찰청,031-961-3853,2023-11-01
G8310,경기도,가평군,일반국도,46,경춘로,01,경기도 가평군 청평면 경춘로 546,경기도 가평군 청평면 대성리 98-32,37.71947647,127.4031436,신청평대교앞교차로(서울→춘천),02,80,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
F9915,경기도,가평군,일반국도,47,경춘로,01,,경기도 가평군 청평면 하천리 496-21,37.747112,127.4287431,청평검문소앞교차로(대성리→가평군청),02,70,99,2017,경기도북부경찰청,031-961-3853,2023-11-01
F9916,경기도,가평군,일반국도,46,경춘로,02,,경기도 가평군 청평면 대성리 758,37.69758971,127.3843143,원대성리삼거리앞(청평터미널→대성리역),02,70,99,2017,경기도북부경찰청,031-961-3853,2023-11-01
H4726,경기도,가평군,시도,,미사리로,03,경기도 가평군 설악면 미사리로 588,경기도 가평군 설악면 미사리 290-3,37.70388933,127.5401557,미원초교장락분교(청심평화월드센터→미사리마을회관),01,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
P-7701,경기도,고양시,시도,,호수로,3,,경기도 고양시 일산서구 대화동 2527,37.67232332,126.7490188,대화동 2527 (장촌초등학교 앞),4,0,,2011,경기도 고양시,031-8075-2578,2023-09-22
P-7703,경기도,고양시,시도,,대화로,3,경기도 고양시 일산서구 대화로 130,경기도 고양시 일산서구 대화동 866,37.670238,126.7347591,대화로130 (한내초교길 입구),4,0,,2010,경기도 고양시,031-8075-2578,2023-09-22
P-7705,경기도,고양시,시도,,중앙로,3,,경기도 고양시 일산서구 대화동 2502,37.67626111,126.7477259,대화동 2502 국민은행 앞,4,0,,2006,경기도 고양시,031-8075-2578,2023-09-22
P-7307,경기도,고양시,시도,,후곡로,3,,경기도 고양시 일산서구 일산동 1046,37.6822697,126.7650289,일산동 1046 후곡2단지 진출입로 앞,4,0,,2018,경기도 고양시,031-8075-2578,2023-09-22
P-7308,경기도,고양시,시도,,킨텍스로,3,,경기도 고양시 일산서구 일산동 1055,37.68071447,126.7593748,일산동 1055 후곡7단지 진출입로 앞,4,0,,2018,경기도 고양시,031-8075-2578,2023-09-22
P-7310,경기도,고양시,시도,,일산로,3,,경기도 고양시 일산서구 일산동 1387,37.67707023,126.768045,일산동 1387 후곡마을16단지 이면도로,4,0,,2020,경기도 고양시,031-8075-2578,2023-09-22
P-7401,경기도,고양시,시도,,현중로,3,경기도 고양시 일산서구 현중로 47,경기도 고양시 일산서구 탄현동 1483,37.6951347,126.7666945,탄현동 1483 상탄초등학교 앞,4,0,,2011,경기도 고양시,031-8075-2578,2023-09-22
P-7403,경기도,고양시,시도,,일현로,3,경기도 고양시 일산서구 일현로 지하 97-27,경기도 고양시 일산서구 탄현동 1647,37.69535208,126.7613691,탄현동 1647 두산위브제니스(코너)(탄현동97-11일산두산위브더제니스 일원),4,0,,2014,경기도 고양시,031-8075-2578,2023-09-22
P-7404,경기도,고양시,시도,,일현로,3,,경기도 고양시 일산서구 탄현동 289-5,37.69466765,126.7612533,탄현동 289-5 두산위브제니스(중앙)(탄현동97-11일산두산위브더제니스 일원),4,0,,2014,경기도 고양시,031-8075-2578,2023-09-22
P-7405,경기도,고양시,시도,,탄중로,3,,경기도 고양시 일산서구 탄현동 1564,37.69226626,126.762328,탄현동 1564 두산위브제니스(끝단)(탄현동97-11일산두산위브더제니스 일원),4,0,,2014,경기도 고양시,031-8075-2578,2023-09-22
P-7406,경기도,고양시,시도,,현중로,3,,경기도 고양시 일산서구 탄현동 1519,37.69576734,126.7672056,탄현동 1519 탄현마을 5~6단지 사이(탄현동 1479번지 5/6단지 사이도로),4,0,,2010,경기도 고양시,031-8075-2578,2023-09-22
P-7408,경기도,고양시,시도,,일현로,3,경기도 고양시 일산서구 일현로 41,경기도 고양시 일산서구 탄현동 1563-7,37.69105087,126.7624158,일산서구 탄현동 1563-7번지 함흥냉면앞,4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-7409,경기도,고양시,시도,,일현로,3,,경기도 고양시 일산서구 탄현동 1476,37.69767353,126.7667732,탄현동 1476번지 탄현마을8단지 앞,4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-7103,경기도,고양시,시도,,일산로,3,경기도 고양시 일산서구 일산로 553,경기도 고양시 일산서구 일산3동 1394,37.6780539,126.7669195,일산3동 1394 후동 육교 앞(일산3동 1085번지 육교앞),4,0,,2010,경기도 고양시,031-8075-2578,2023-09-22
P-7104,경기도,고양시,시도,,경의로,3,,경기도 고양시 일산서구 일산동 1410,37.6816646,126.7696775,일산동 1410 일산역 앞,4,0,,2013,경기도 고양시,031-8075-2578,2023-09-22
P-7105,경기도,고양시,시도,,일청로,3,,경기도 고양시 일산서구 일산동1719,37.69186175,126.7739233,일산동1719 현산중학교정문앞,4,0,,2013,경기도 고양시,031-8075-2578,2023-09-22
P-7106,경기도,고양시,시도,,일산로,3,경기도 고양시 일산서구 일산로 553,경기도 고양시 일산서구 일산동 1394,37.67804508,126.7666019,일산동 1394 명품목우 앞(일산3동 1088-5번지 목우촌앞),4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-7107,경기도,고양시,시도,,고양대로,3,,경기도 고양시 일산서구 일산동 622-11,37.68435662,126.769564,일산동 622-11 일산시장 우리치과 길건너(일산2동 622-7번지 함막웃음 치과앞),4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-7108,경기도,고양시,시도,,고양대로,3,경기도 고양시 일산서구 고양대로 681,경기도 고양시 일산서구 일산동 633,37.68433082,126.7719844,일산동 633 한라마트 앞,4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-7109,경기도,고양시,시도,,고봉로,3,경기도 고양시 일산서구 고봉로 291,경기도 고양시 일산서구 일산동 555-1,37.68523967,126.7772371,일산동 555-1 에이스스타디움 앞(일산동 572-40번지 에이스스타디움앞),4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-7110,경기도,고양시,시도,,일청로,3,,경기도 고양시 일산서구 일산동 617-117,37.68610483,126.770662,일산동 617-117 (크로커다일 앞),4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-7111,경기도,고양시,시도,,고양대로,3,,경기도 고양시 일산서구 일산동 655-454,37.68431707,126.7683986,일산동 655-454 (일산시장 이안아파트 앞),4,0,,2012,경기도 고양시,031-8075-2578,2023-09-22
P-7113,경기도,고양시,시도,,고양대로,3,,경기도 고양시 일산서구 일산동 655-17,37.6834061,126.7686663,일산서구 일산동 655-17 유진스웰2단지앞,4,0,,2016,경기도 고양시,031-8075-2578,2023-09-22
P-7114,경기도,고양시,시도,,일청로,3,경기도 고양시 일산서구 일청로65번길 6,경기도 고양시 일산서구 일산동 1940,37.6895941,126.7736011,일산동 1940 일산푸르지오아파트 상가 앞,4,0,,2019,경기도 고양시,031-8075-2578,2023-09-22
P-7115,경기도,고양시,시도,,고양대로,3,,경기도 고양시 일산서구 산동 2147-3,37.68418429,126.7672103,"일산동 2147-3 태영동문 1,2차및 유진스웰 사이",4,0,,2020,경기도 고양시,031-8075-2578,2023-09-22
P-7117,경기도,고양시,시도,,고양대로,3,경기도 고양시 일산서구 고양대로 671-1,경기도 고양시 일산서구 일산동 625-6,37.6841302,126.7706947,일산동 625-6 일산새마을금고 건너편,4,0,,2022,경기도 고양시,031-8075-2625,2023-09-22
P-7201,경기도,고양시,시도,,고양대로,3,경기도 고양시 일산서구 고양대로 719-12,경기도 고양시 일산서구 일산동 1686,37.68398264,126.7765762,일산동 1686 산들마을 6단지(정문앞),4,0,,2014,경기도 고양시,031-8075-2578,2023-09-22
P-7202,경기도,고양시,시도,,고양대로,3,,경기도 고양시 일산서구 일산동 541-5,37.68270348,126.775039,일산동 541-5 산들마을 3단지 농협 앞,4,0,,2009,경기도 고양시,031-8075-2578,2023-09-22
P-7203,경기도,고양시,시도,,일중로,3,,경기도 고양시 일산서구 일산동 576-19,37.68554622,126.7754563,일산동 576-19 일산서구보건소 사거리,4,0,,2009,경기도 고양시,031-8075-2578,2023-09-22
P-7302,경기도,고양시,시도,,일산로,3,경기도 고양시 일산서구 일산로 544,경기도 고양시 일산서구 일산동 1079,37.6780171,126.7678043,"일산동 1079 용신프라자,롯데리아 앞",4,0,,2007,경기도 고양시,031-8075-2578,2023-09-22
P-7303,경기도,고양시,시도,,일산로,3,경기도 고양시 일산서구 일산로 531,경기도 고양시 일산서구 일산동 1083,37.67705135,126.768589,일산동 1083 대화프라자 앞,4,0,,2007,경기도 고양시,031-8075-2578,2023-09-22
P-7305,경기도,고양시,시도,,일산로,3,경기도 고양시 일산서구 일산로 570,경기도 고양시 일산서구 일산동 1064,37.67917243,126.7652641,일산동 1064 한성빌딩 앞)(홍은빌딩앞,4,0,,2007,경기도 고양시,031-8075-2578,2023-09-22
P-6930,경기도,고양시,시도,,정발산로,3,경기도 고양시 일산동구 정발산로42번길 24,경기도 고양시 일산동구 장항동854,37.65618367,126.7737861,일산동구 장항동854  신성하이네스트,4,0,,2006,경기도 고양시,031-8075-2578,2023-09-22
P-6931,경기도,고양시,시도,,정발산로,3,,경기도 고양시 일산동구 장항동1504,37.65733038,126.7716654,일산동구 장항동859 (호반2로),4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-6932,경기도,고양시,시도,,정발산로,3,경기도 고양시 일산동구 정발산로 27,경기도 고양시 일산동구 장항동 859-1,37.6569282,126.7718487,장항동 859-1 웨스턴돔2,4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-6934,경기도,고양시,시도,,정발산로,3,,경기도 고양시 일산동구 장항동 1509,37.65643322,126.7692391,장항동 866번지 (코오롱레이크폴리스1차 앞),4,0,,2012,경기도 고양시,031-8075-2578,2023-09-22
P-6935,경기도,고양시,시도,,정발산로,3,경기도 고양시 일산동구 호수로 606,경기도 고양시 일산동구 장항동 866,37.65614811,126.7694718,일산동구 장항동 863 (일산MBC앞삼거리),4,0,,2013,경기도 고양시,031-8075-2578,2023-09-22
P-6937,경기도,고양시,시도,,장항로,3,경기도 고양시 일산동구 무궁화로 32-19,경기도 고양시 일산동구 장항동 777,37.66203341,126.7687417,(호수공원 제1주차장앞),4,0,,2010,경기도 고양시,031-8075-2578,2023-09-22
P-6938,경기도,고양시,시도,,장항로,3,경기도 고양시 일산동구 고봉로 32-35,경기도 고양시 일산동구 장항동 732,37.66377561,126.7670356,(호수공원 제2주차장앞),4,0,,2010,경기도 고양시,031-8075-2578,2023-09-22
P-6940,경기도,고양시,시도,,장항로,3,경기도 고양시 일산동구 무궁화로 19-19,경기도 고양시 일산동구 장항동 743,37.66280502,126.7660486,(호수공원 제3주차장앞),4,0,,2010,경기도 고양시,031-8075-2578,2023-09-22
P-6942,경기도,고양시,시도,,한류월드로,3,,경기도 고양시 일산동구 장항동 1088,37.6612809,126.7560344,일산동구 장항동 1088번지 EBS정문,4,0,,2017,경기도 고양시,031-8075-2578,2023-09-22
P-6943,경기도,고양시,시도,,태극로,3,,경기도 고양시 일산동구 장항동 1088,37.661392,126.753828,일산동구 장항동 1088번지 EBS후문,4,0,,2017,경기도 고양시,031-8075-2578,2023-09-22
P-6944,경기도,고양시,시도,,장백로,3,경기도 고양시 일산동구 장백로 172,경기도 고양시 일산동구 장항동 898-1,37.65026105,126.7777559,일산동구 장항동 898-1 (삼성화재일산지점주변),4,0,,2017,경기도 고양시,031-8075-2578,2023-09-22
P-6946,경기도,고양시,시도,,한류월드로,3,,경기도 고양시 일산동구 장항동 1077-3,37.6616325,126.7568265,일산동구 장항동 1077-3 (한류초등학교 삼거리),4,0,,2018,경기도 고양시,031-8075-2578,2023-09-22
P-6947,경기도,고양시,시도,,태극로,3,,경기도 고양시 일산동구 장항동 1764,37.66316694,126.750651,일산동구 장항동 1764 (엠블호텔사거리),4,0,,2018,경기도 고양시,031-8075-2578,2023-09-22
P-6948,경기도,고양시,시도,,월드고양로,3,,경기도 고양시 일산동구 장항동 1811,37.66103564,126.7483496,일산동구 장항동 1811 (원시티 301동앞),4,0,,2018,경기도 고양시,031-8075-2578,2023-09-22
P-6949,경기도,고양시,시도,,한류월드로,3,,경기도 고양시 일산동구 장항동 1763-1,37.65899407,126.7598933,일산동구 장항동 1763-1(힐스테이트레이크뷰),4,0,,2018,경기도 고양시,031-8075-2578,2023-09-22
P-6951,경기도,고양시,시도,,연리지로,3,,경기도 고양시 일산동구 장항동 1807,37.660196,126.7560428,장항동 1807번지 빛마루방송센터 삼거리,4,0,,2019,경기도 고양시,031-8075-2578,2023-09-22
P-6952,경기도,고양시,시도,,장백로,3,경기도 고양시 일산동구 장백로 200,경기도 고양시 일산동구 장항동 892,37.65257831,126.776303,일산동구 장항동 892 (사법연수원건너편 유국타워인근),4,0,,2019,경기도 고양시,031-8075-2578,2023-09-22
P-6953,경기도,고양시,시도,,한류월드로,3,,경기도 고양시 일산동구 장항동 908-3,37.65644203,126.7612441,일산동구 장항동 908-3 선인장전신관 앞,4,0,,2020,경기도 고양시,031-8075-2578,2023-09-22
P-6A01,경기도,고양시,시도,,정발산로,3,경기도 고양시 일산동구 정발산로42번길 38,경기도 고양시 일산동구 장항동 853,37.6555821,126.7741236,일산동구 장항동 853 (웨스턴돔1),4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-6A02,경기도,고양시,시도,,중앙로,3,경기도 고양시 일산동구 중앙로1261번길 57,경기도 고양시 일산동구 장항동 861-1,37.65728692,126.7709841,일산동구 장항동 861-1 (레이크프라자),4,0,,2010,경기도 고양시,031-8075-2578,2023-09-22
P-6A03,경기도,고양시,시도,,무궁화로,3,,경기도 고양시 일산동구 장항동 1484,37.660562,126.7665918,장항동 1484 (삼성라끄빌),4,0,,2019,경기도 고양시,031-8075-2578,2023-09-22
P-6B01,경기도,고양시,시도,,고봉로,3,,경기도 고양시 일산동구 설문동 589-23,37.725822,126.795759,일산동구 설문동 589-23 박애원입구 (5대),4,0,,2019,경기도 고양시,031-8075-2578,2023-09-22
F7558,경기도,고양시,지방도,3,고양대로,02,경기도 고양시 일산서구 고양대로 258,경기도 고양시 일산서구 대화동 2311-1,37.66737841,126.7373217,한국건설기술연구원앞(종합운동장→일산대교),01,60,99,2016,경기도북부경찰청,031-961-3853,2023-11-01
P-6902,경기도,고양시,시도,,중앙로,3,경기도 고양시 일산동구 중앙로1275번길 14-27,경기도 고양시 일산동구 장항동 772,37.660747,126.7710539,장항동 784 (고양등기소 뒤 고양등기소),4,0,,2011,경기도 고양시,031-8075-2578,2023-09-22
P-6903,경기도,고양시,시도,,고봉로,3,경기도 고양시 일산동구 무궁화로 43-15,경기도 고양시 일산동구 장항동 733,37.66378321,126.7679191,장항동 732 (SK브로드벤드 앞),4,0,,2011,경기도 고양시,031-8075-2578,2023-09-22
P-7706,경기도,고양시,시도,,호수로,3,경기도 고양시 일산서구 호수로 817,경기도 고양시 일산서구 대화동 2602,37.66799365,126.7516307,대화동 2602 현대백화점 정문,4,0,,2014,경기도 고양시,031-8075-2578,2023-09-22
P-7716,경기도,고양시,시도,,한류월드로,3,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동2606,37.6645541,126.7545266,대화동2606 원마운트주차장 입구,4,0,,2013,경기도 고양시,031-8075-2578,2023-09-22
P-7718,경기도,고양시,시도,,한류월드로,3,경기도 고양시 일산서구 한류월드로 300,경기도 고양시 일산서구 대화동2606,37.6645541,126.7545266,대화동2606 원마운트사거리,4,0,,2013,경기도 고양시,031-8075-2578,2023-09-22
P-7720,경기도,고양시,시도,,한류월드로,3,,경기도 고양시 일산서구 대화동 2606-2,37.66325155,126.7560541,대화동 2606-2 아쿠아 주차장 입구,4,0,,2014,경기도 고양시,031-8075-2578,2023-09-22
P-7721,경기도,고양시,시도,,대화로,3,경기도 고양시 일산서구 대화로 157,경기도 고양시 일산서구 대화동 759-4,37.6719428,126.7369957,대화동 759-4 송포농협 앞,4,0,,2008,경기도 고양시,031-8075-2578,2023-09-22
P-7722,경기도,고양시,시도,,중앙로,3,경기도 고양시 일산서구 중앙로 1581,경기도 고양시 일산서구 대화동 2219,37.67614509,126.7461014,대화동 2219 대화역3번출구 앞,4,0,,2017,경기도 고양시,031-8075-2578,2023-09-22
P-7724,경기도,고양시,시도,,킨텍스로,3,,경기도 고양시 일산서구 대화동 2723,37.66121186,126.7420964,대화동 2723  (이마트 킨텍스점 주차장입구),4,0,,2015,경기도 고양시,031-8075-2578,2023-09-22
P-7725,경기도,고양시,시도,,킨텍스로,3,,경기도 고양시 일산서구 대화동 2723,37.66121186,126.7420964,대화동 2723  (이마트 킨텍스점 제2하역장 건너),4,0,,2015,경기도 고양시,031-8075-2578,2023-09-22
P-7726,경기도,고양시,시도,,킨텍스로,3,,경기도 고양시 일산서구 대화동 2723,37.66121186,126.7420964,대화동 2723 (이마트 킨텍스점 사거리),4,0,,2015,경기도 고양시,031-8075-2578,2023-09-22
P-7727,경기도,고양시,시도,,킨텍스로,3,,경기도 고양시 일산서구 대화동 2607-2,37.66672585,126.7464595,대화동 2607-2 킨텍스 1하역장 부근,4,0,,2012,경기도 고양시,031-8075-2578,2023-09-22
P-7728,경기도,고양시,시도,,킨텍스로,3,,경기도 고양시 일산서구 대화동 2607,37.66624826,126.7459032,대화동 2607 킨텍스 2전시장 입구,4,0,,2012,경기도 고양시,031-8075-2578,2023-09-22
P-7729,경기도,고양시,시도,,킨텍스로,3,,경기도 고양시 일산서구 대화동 2607,37.66624826,126.7459032,대화동 2607 킨텍스 지하차도 부근(대화동 2600-3 킨텍스 지하차도 주변),4,0,,2012,경기도 고양시,031-8075-2578,2023-09-22
P-7730,경기도,고양시,시도,,킨텍스로,3,,경기도 고양시 일산서구 대화동 2306-2,37.671585,126.7451536,대화동 2306-2 (킨텍스북문1),4,0,,2013,경기도 고양시,031-8075-2578,2023-09-22
P-7732,경기도,고양시,시도,,일산로,3,경기도 고양시 일산서구 일산로 762,경기도 고양시 일산서구 대화동 2202-2,37.67582142,126.749069,일산서구 대화동 2202-2 (우리은행앞),4,0,,2015,경기도 고양시,031-8075-2578,2023-09-22
P-7733,경기도,고양시,시도,,대화로,3,,경기도 고양시 일산서구 대화동 2600-6,37.66733286,126.7482931,대화동 2600-6 (현대자동차 정문),4,0,,2016,경기도 고양시,031-8075-2578,2023-09-22
P-7505,경기도,고양시,시도,,주화로,3,경기도 고양시 일산서구 중앙로 1471,경기도 고양시 일산서구 주엽동 136,37.67181676,126.7561586,주엽동 136 문촌13단지 앞,4,0,,2006,경기도 고양시,031-8075-2578,2023-09-22
P-7506,경기도,고양시,시도,,주화로,3,,경기도 고양시 일산서구 주엽동 177,37.66945332,126.7605174,주엽동 177 주엽소방파출소,4,0,,2006,경기도 고양시,031-8075-2578,2023-09-22
P-7508,경기도,고양시,시도,,중앙로,3,경기도 고양시 일산서구 중앙로 1391,경기도 고양시 일산서구 주엽1동 83,37.668134,126.764835,주엽1동 83 레이크타운 앞,4,0,,2006,경기도 고양시,031-8075-2578,2023-09-22
P-7509,경기도,고양시,시도,,중앙로,3,경기도 고양시 일산서구 중앙로 1371,경기도 고양시 일산서구 주엽동 81,37.66712434,126.7654716,주엽동 81 뉴서울프라자 앞,4,0,,2006,경기도 고양시,031-8075-2578,2023-09-22
P-7511,경기도,고양시,시도,,중앙로,3,,경기도 고양시 일산서구 주엽동 166-12,37.66961155,126.7620567,주엽동 166-12 농협중앙회 앞,4,0,,2006,경기도 고양시,031-8075-2578,2023-09-22
